{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
25
25
25
25
3
0
last event:  <Event(0-NoEvent {})>
         3366687 function calls (3361281 primitive calls) in 5.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.033    0.001 pyparsing.py:2730(__init__)
      238    0.013    0.000    0.033    0.000 inspect.py:279(getmembers)
      454    0.001    0.000    0.032    0.000 scanner.py:665(fetch_plain)
        1    0.000    0.000    0.032    0.032 random.py:37(<module>)
        1    0.000    0.000    0.031    0.031 parser.py:5(<module>)
        1    0.000    0.000    0.031    0.031 feedparser.py:20(<module>)
        1    0.000    0.000    0.031    0.031 hashlib.py:53(<module>)
        1    0.000    0.000    0.031    0.031 loader.py:2(<module>)
        1    0.000    0.000    0.030    0.030 pyparsing.py:5334(pyparsing_common)
      454    0.008    0.000    0.028    0.000 scanner.py:1266(scan_plain)
        1    0.000    0.000    0.028    0.028 __init__.py:648(_build_master)
        1    0.000    0.000    0.028    0.028 __init__.py:635(__init__)
      180    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      236    0.000    0.000    0.028    0.000 map.py:99(mechanic)
        1    0.027    0.027    0.027    0.027 {built-in method pygame.base.quit}
        1    0.000    0.000    0.027    0.027 message.py:5(<module>)
       82    0.001    0.000    0.027    0.000 enemy.py:45(go)
      411    0.002    0.000    0.026    0.000 sre_compile.py:221(_compile_charset)
      116    0.000    0.000    0.025    0.000 __init__.py:2734(_reload_version)
      411    0.021    0.000    0.024    0.000 sre_compile.py:248(_optimize_charset)
      566    0.006    0.000    0.024    0.000 parser.py:273(parse_node)
      116    0.001    0.000    0.024    0.000 __init__.py:2363(_version_from_file)
        2    0.000    0.000    0.023    0.012 map.py:162(loadEnemies)
      166    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1130(find_spec)
      166    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1098(_get_spec)
      120    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
      478    0.001    0.000    0.022    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
      120    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.021    0.021 utils.py:5(<module>)
        1    0.000    0.000    0.020    0.020 specifiers.py:4(<module>)
     6812    0.009    0.000    0.020    0.000 scanner.py:142(need_more_tokens)
       70    0.000    0.000    0.020    0.000 parser.py:381(parse_block_sequence_entry)
      206    0.001    0.000    0.020    0.000 player.py:174(draw)
        2    0.000    0.000    0.020    0.010 enemy.py:82(__init__)
        2    0.000    0.000    0.020    0.010 enemy.py:87(load)
      303    0.005    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
       31    0.019    0.001    0.019    0.001 {method 'convert_alpha' of 'pygame.Surface' objects}
       20    0.001    0.000    0.019    0.001 __init__.py:356(namedtuple)
     4188    0.018    0.000    0.019    0.000 reader.py:99(forward)
    13086    0.008    0.000    0.018    0.000 sre_parse.py:247(get)
       12    0.000    0.000    0.018    0.002 pyparsing.py:4196(__init__)
    36/11    0.000    0.000    0.018    0.002 pyparsing.py:3685(leaveWhitespace)
      471    0.002    0.000    0.017    0.000 pyparsing.py:1144(copy)
        1    0.000    0.000    0.017    0.017 specifiers.py:275(Specifier)
      258    0.001    0.000    0.017    0.000 __init__.py:1383(safe_version)
      534    0.001    0.000    0.016    0.000 __init__.py:2536(_get_metadata)
        1    0.001    0.001    0.016    0.016 sur.py:242(__init__)
      206    0.005    0.000    0.016    0.000 player.py:131(drawAnim)
      187    0.000    0.000    0.016    0.000 {built-in method builtins.next}
      471    0.003    0.000    0.016    0.000 copy.py:67(copy)
      286    0.003    0.000    0.015    0.000 pyganim.py:137(blit)
        6    0.000    0.000    0.015    0.002 parser.py:402(parse_indentless_sequence_entry)
        1    0.015    0.015    0.015    0.015 {built-in method pygame.mixer.init}
    61/11    0.001    0.000    0.015    0.001 pyparsing.py:3230(leaveWhitespace)
        2    0.000    0.000    0.014    0.007 scanner.py:648(fetch_single)
        2    0.000    0.000    0.014    0.007 scanner.py:654(fetch_flow_scalar)
        2    0.000    0.000    0.014    0.007 scanner.py:1131(scan_flow_scalar)
   131/65    0.001    0.000    0.014    0.000 pyparsing.py:3305(copy)
        1    0.000    0.000    0.013    0.013 reader.py:18(<module>)
        1    0.000    0.000    0.013    0.013 reader.py:45(Reader)
        1    0.000    0.000    0.013    0.013 inspect.py:27(<module>)
      258    0.005    0.000    0.012    0.000 version.py:198(__init__)
    14719    0.012    0.000    0.012    0.000 sre_parse.py:226(__next)
      142    0.001    0.000    0.011    0.000 __init__.py:2379(__init__)
   131/65    0.001    0.000    0.011    0.000 pyparsing.py:3307(<listcomp>)
        1    0.000    0.000    0.011    0.011 zipfile.py:5(<module>)
        1    0.000    0.000    0.011    0.011 platform.py:10(<module>)
       93    0.001    0.000    0.011    0.000 sre_compile.py:412(_compile_info)
       61    0.000    0.000    0.010    0.000 pyparsing.py:3234(<listcomp>)
     6797    0.010    0.000    0.010    0.000 scanner.py:276(stale_possible_simple_keys)
    21999    0.010    0.000    0.010    0.000 reader.py:87(peek)
      102    0.003    0.000    0.010    0.000 scanner.py:1181(scan_flow_scalar_non_spaces)
        3    0.000    0.000    0.010    0.003 player.py:98(__init__)
      454    0.003    0.000    0.010    0.000 scanner.py:1313(scan_plain_spaces)
        1    0.000    0.000    0.009    0.009 __init__.py:9(<module>)
      471    0.005    0.000    0.009    0.000 copy.py:269(_reconstruct)
        1    0.000    0.000    0.009    0.009 version.py:4(<module>)
      241    0.009    0.000    0.009    0.000 {built-in method builtins.dir}
      480    0.001    0.000    0.008    0.000 util.py:83(render)
      829    0.003    0.000    0.008    0.000 scanner.py:749(scan_to_next_token)
        1    0.000    0.000    0.008    0.008 resolver.py:2(<module>)
19017/19015    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.008    0.008 shutil.py:5(<module>)
        1    0.000    0.000    0.008    0.008 sysfont.py:21(<module>)
      127    0.001    0.000    0.008    0.000 map.py:90(drawEnemies)
      480    0.007    0.000    0.007    0.000 {method 'render' of 'pygame.font.Font' objects}
        7    0.000    0.000    0.007    0.001 constructor.py:40(construct_document)
      239    0.007    0.000    0.007    0.000 {built-in method pygame.transform.scale}
        1    0.000    0.000    0.007    0.007 subprocess.py:356(<module>)
        2    0.000    0.000    0.007    0.004 player.py:42(load)
      974    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     1514    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
   112/63    0.000    0.000    0.007    0.000 constructor.py:395(construct_yaml_map)
       56    0.000    0.000    0.006    0.000 constructor.py:201(construct_mapping)
 1632/677    0.005    0.000    0.006    0.000 sre_parse.py:167(getwidth)
     4499    0.004    0.000    0.006    0.000 sre_parse.py:157(__getitem__)
