{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
25
25
25
25
3
0
last event:  <Event(0-NoEvent {})>
         3366687 function calls (3361281 primitive calls) in 5.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.001    0.000 scanner.py:481(fetch_block_entry)
        1    0.000    0.000    0.001    0.001 sur.py:132(__init__)
      444    0.001    0.000    0.001    0.000 __init__.py:2577(__getattr__)
       14    0.000    0.000    0.001    0.000 __init__.py:430(get_provider)
      421    0.001    0.000    0.001    0.000 constructor.py:159(construct_scalar)
        2    0.000    0.000    0.001    0.001 pyparsing.py:2814(__init__)
        7    0.000    0.000    0.001    0.000 loader.py:33(__init__)
       48    0.000    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
       16    0.000    0.000    0.001    0.000 emitter.py:111(emit)
      153    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
      106    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       69    0.001    0.000    0.001    0.000 pyparsing.py:2363(__init__)
      836    0.001    0.000    0.001    0.000 scanner.py:322(unwind_indent)
     2696    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      287    0.001    0.000    0.001    0.000 {method 'fill' of 'pygame.Surface' objects}
     1525    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
      142    0.000    0.000    0.001    0.000 posixpath.py:115(splitext)
     1960    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      648    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       10    0.000    0.000    0.001    0.000 __init__.py:2169(normalize_path)
       14    0.000    0.000    0.001    0.000 __init__.py:1544(__init__)
      121    0.000    0.000    0.001    0.000 pyparsing.py:2319(__init__)
      110    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
     1069    0.001    0.000    0.001    0.000 sre_compile.py:101(fixup)
     2734    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
     2849    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      277    0.000    0.000    0.001    0.000 player.py:305(collideEnemies)
       10    0.000    0.000    0.001    0.000 posixpath.py:369(realpath)
      164    0.001    0.000    0.001    0.000 random.py:220(_randbelow)
      980    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
       14    0.000    0.000    0.001    0.000 pyparsing.py:1985(__call__)
      160    0.001    0.000    0.001    0.000 sre_parse.py:312(_class_escape)
        1    0.000    0.000    0.001    0.001 __init__.py:1634(MemoizedZipManifests)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      158    0.001    0.000    0.001    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.001    0.001 surfarray.py:61(<module>)
        7    0.000    0.000    0.001    0.000 __init__.py:1192(resource_exists)
      471    0.001    0.000    0.001    0.000 copyreg.py:87(__newobj__)
     20/4    0.000    0.000    0.001    0.000 pyparsing.py:3261(streamline)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4626(originalTextFor)
       71    0.000    0.000    0.001    0.000 sre_parse.py:260(getuntil)
        7    0.000    0.000    0.001    0.000 reader.py:59(__init__)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
      668    0.000    0.000    0.001    0.000 posixpath.py:39(_get_sep)
        3    0.000    0.000    0.001    0.000 pyparsing.py:1836(__mul__)
      123    0.000    0.000    0.001    0.000 path.py:5(getPath)
      231    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        7    0.000    0.000    0.001    0.000 __init__.py:1208(resource_stream)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3295(setResultsName)
        1    0.000    0.000    0.001    0.001 sndarray.py:45(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:1548(_setup_prefix)
       38    0.000    0.000    0.001    0.000 pyparsing.py:4175(__init__)
        1    0.000    0.000    0.001    0.001 cyaml.py:2(<module>)
     12/2    0.000    0.000    0.001    0.000 pyparsing.py:1885(makeOptionalList)
       87    0.000    0.000    0.001    0.000 __init__.py:1858(has_metadata)
      191    0.001    0.000    0.001    0.000 sre_parse.py:362(_escape)
      286    0.000    0.000    0.001    0.000 pyganim.py:575(_propGetState)
      665    0.000    0.000    0.001    0.000 parser.py:114(get_event)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
    93/56    0.001    0.000    0.001    0.000 constructor.py:166(flatten_mapping)
      142    0.001    0.000    0.001    0.000 enum.py:295(__setattr__)
        1    0.000    0.000    0.001    0.001 menu.py:8(__init__)
      142    0.001    0.000    0.001    0.000 genericpath.py:111(_splitext)
        7    0.000    0.000    0.001    0.000 reader.py:122(determine_encoding)
     15/4    0.000    0.000    0.001    0.000 pyparsing.py:3704(streamline)
     1211    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1353    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       70    0.000    0.000    0.001    0.000 __init__.py:2648(<listcomp>)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      454    0.000    0.000    0.001    0.000 scanner.py:728(check_plain)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      980    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
      180    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
       48    0.001    0.000    0.001    0.000 sre_compile.py:376(<listcomp>)
      109    0.000    0.000    0.001    0.000 codecs.py:318(decode)
       10    0.000    0.000    0.001    0.000 posixpath.py:377(_joinrealpath)
      238    0.000    0.000    0.001    0.000 inspect.py:72(isclass)
        1    0.000    0.000    0.001    0.001 zipfile.py:694(ZipExtFile)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
      468    0.001    0.000    0.001    0.000 events.py:65(__init__)
      545    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      468    0.001    0.000    0.001    0.000 nodes.py:27(__init__)
      348    0.000    0.000    0.001    0.000 __init__.py:2368(<lambda>)
       84    0.000    0.000    0.001    0.000 posixpath.py:145(dirname)
        1    0.000    0.000    0.001    0.001 tokens.py:2(<module>)
      470    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      524    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
       58    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
      142    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       30    0.000    0.000    0.001    0.000 constructor.py:390(construct_yaml_seq)
       93    0.000    0.000    0.001    0.000 sre_parse.py:217(__init__)
      458    0.001    0.000    0.001    0.000 tokens.py:98(__init__)
        3    0.000    0.000    0.001    0.000 menu.py:32(addItem)
     2008    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       26    0.000    0.000    0.001    0.000 path.py:8(getPaths)
        1    0.000    0.000    0.001    0.001 __init__.py:2752(DistInfoDistribution)
        3    0.000    0.000    0.001    0.000 menu.py:18(rend)
     1262    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      286    0.001    0.000    0.001    0.000 pyganim.py:157(getFrame)
       16    0.000    0.000    0.001    0.000 reader.py:177(update_raw)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
      712    0.001    0.000    0.001    0.000 tokens.py:3(__init__)
        4    0.000    0.000    0.000    0.000 util.py:48(imgLoadN)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       15    0.000    0.000    0.000    0.000 constructor.py:110(construct_sequence)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
        1    0.000    0.000    0.000    0.000 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
       11    0.000    0.000    0.000    0.000 emitter.py:232(expect_node)
       15    0.000    0.000    0.000    0.000 constructor.py:115(<listcomp>)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
       49    0.000    0.000    0.000    0.000 pyparsing.py:2777(__str__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4395(delimitedList)
       12    0.000    0.000    0.000    0.000 parser.py:542(parse_flow_mapping_key)
        1    0.000    0.000    0.000    0.000 message.py:106(Message)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3943(__init__)
  540/534    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       20    0.000    0.000    0.000    0.000 parser.py:267(parse_flow_node)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      249    0.000    0.000    0.000    0.000 scanner.py:718(check_value)
      512    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
       98    0.000    0.000    0.000    0.000 posixpath.py:99(split)
     1499    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
      277    0.000    0.000    0.000    0.000 player.py:228(particlesStep)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       25    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
        5    0.000    0.000    0.000    0.000 emitter.py:333(expect_flow_mapping_key)
      123    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       58    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
       31    0.000    0.000    0.000    0.000 reader.py:146(update)
      640    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       93    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      353    0.000    0.000    0.000    0.000 player.py:128(changeAnim)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
      277    0.000    0.000    0.000    0.000 player.py:312(handleDead)
      119    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      112    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
       41    0.000    0.000    0.000    0.000 constructor.py:223(construct_yaml_int)
      331    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 enemy.py:22(load)
      236    0.000    0.000    0.000    0.000 sur.py:267(mech)
        1    0.000    0.000    0.000    0.000 camera.py:1(<module>)
     2166    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      312    0.000    0.000    0.000    0.000 {built-in method time.time}
      330    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       19    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       10    0.000    0.000    0.000    0.000 parser.py:569(parse_flow_mapping_value)
       24    0.000    0.000    0.000    0.000 __init__.py:1935(find_distributions)
        1    0.000    0.000    0.000    0.000 events.py:4(<module>)
      206    0.000    0.000    0.000    0.000 player.py:179(drawParticles)
      517    0.000    0.000    0.000    0.000 {method 'get_rect' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
      277    0.000    0.000    0.000    0.000 player.py:149(shooting)
      310    0.000    0.000    0.000    0.000 scanner.py:38(__init__)
      127    0.000    0.000    0.000    0.000 map.py:76(drawPlayerBullets)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3376(__str__)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
      421    0.000    0.000    0.000    0.000 constructor.py:103(construct_scalar)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      955    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       82    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 six.py:80(_import_module)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2764(parseImpl)
      268    0.000    0.000    0.000    0.000 pyparsing.py:3212(<genexpr>)
       25    0.000    0.000    0.000    0.000 posixpath.py:158(islink)
       87    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
      8/3    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
      540    0.000    0.000    0.000    0.000 resolver.py:91(descend_resolver)
      109    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       21    0.000    0.000    0.000    0.000 objects.py:23(createObject)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
      404    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      774    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
      467    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
      120    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
      572    0.000    0.000    0.000    0.000 pyganim.py:560(_propGetLoop)
       10    0.000    0.000    0.000    0.000 posixpath.py:355(abspath)
        5    0.000    0.000    0.000    0.000 emitter.py:354(expect_flow_mapping_simple_value)
      658    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:3518(__str__)
       70    0.000    0.000    0.000    0.000 __init__.py:2130(fixup_namespace_packages)
      723    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 emitter.py:266(expect_scalar)
        5    0.000    0.000    0.000    0.000 emitter.py:437(check_simple_key)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 representer.py:2(<module>)
      112    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
      474    0.000    0.000    0.000    0.000 player.py:65(getHealth)
      529    0.000    0.000    0.000    0.000 parser.py:107(peek_event)
      540    0.000    0.000    0.000    0.000 resolver.py:114(ascend_resolver)
       58    0.000    0.000    0.000    0.000 __init__.py:1870(_warn_on_replacement)
      241    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2693(__str__)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
        7    0.000    0.000    0.000    0.000 __init__.py:1575(get_resource_stream)
        1    0.000    0.000    0.000    0.000 abc.py:151(register)
       93    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3793(__init__)
      418    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
      166    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        4    0.000    0.000    0.000    0.000 pyparsing.py:1800(__radd__)
      390    0.000    0.000    0.000    0.000 scanner.py:309(remove_possible_simple_key)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
       14    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2004(suppress)
      118    0.000    0.000    0.000    0.000 __init__.py:2182(_is_unpacked_egg)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
        7    0.000    0.000    0.000    0.000 __init__.py:1461(has_resource)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       38    0.000    0.000    0.000    0.000 __init__.py:2907(_find_adapter)
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
      726    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       14    0.000    0.000    0.000    0.000 __init__.py:1448(__init__)
        5    0.000    0.000    0.000    0.000 scanner.py:609(fetch_anchor)
       66    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      300    0.000    0.000    0.000    0.000 scanner.py:346(add_indent)
       79    0.000    0.000    0.000    0.000 camera.py:23(calc)
      734    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      186    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3381(<genexpr>)
     11/1    0.000    0.000    0.000    0.000 representer.py:32(represent_data)
      211    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        9    0.000    0.000    0.000    0.000 enum.py:400(_find_new_)
      127    0.000    0.000    0.000    0.000 {method 'tick' of 'Clock' objects}
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       66    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      224    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      179    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:2716(Regex)
       93    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
       26    0.000    0.000    0.000    0.000 pyganim.py:91(_getStartTimes)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 representer.py:204(represent_dict)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3881(__init__)
        1    0.000    0.000    0.000    0.000 representer.py:102(represent_mapping)
      541    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 sur.py:76(keyDown)
      304    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       12    0.000    0.000    0.000    0.000 sre_compile.py:379(_bytes_to_codes)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4728(<genexpr>)
       10    0.000    0.000    0.000    0.000 emitter.py:626(analyze_scalar)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        7    0.000    0.000    0.000    0.000 scanner.py:48(__init__)
       10    0.000    0.000    0.000    0.000 posixpath.py:318(normpath)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        1    0.000    0.000    0.000    0.000 warnings.py:38(filterwarnings)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4726(<lambda>)
        1    0.000    0.000    0.000    0.000 scanner.py:27(<module>)
      286    0.000    0.000    0.000    0.000 pyganim.py:594(_propGetVisibility)
       35    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        1    0.000    0.000    0.000    0.000 tarfile.py:1374(TarFile)
      118    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
      277    0.000    0.000    0.000    0.000 player.py:39(step)
        4    0.000    0.000    0.000    0.000 sur.py:277(walkEvent)
        1    0.000    0.000    0.000    0.000 emitter.py:9(<module>)
      105    0.000    0.000    0.000    0.000 pyparsing.py:2112(__str__)
      516    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4510(_escapeRegexRangeChars)
       82    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
        7    0.000    0.000    0.000    0.000 parser.py:127(parse_stream_start)
      332    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
      363    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      286    0.000    0.000    0.000    0.000 pyganim.py:548(_propGetRate)
      363    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       50    0.000    0.000    0.000    0.000 pyparsing.py:3523(<genexpr>)
       10    0.000    0.000    0.000    0.000 emitter.py:515(process_scalar)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2658(parseImpl)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1979(__invert__)
      159    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      309    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        9    0.000    0.000    0.000    0.000 reader.py:138(check_printable)
        1    0.000    0.000    0.000    0.000 nodes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:62(<module>)
        8    0.000    0.000    0.000    0.000 scanner.py:467(fetch_flow_entry)
        1    0.000    0.000    0.000    0.000 tokenize.py:450(open)
        1    0.000    0.000    0.000    0.000 __init__.py:1029(Environment)
       11    0.000    0.000    0.000    0.000 emitter.py:469(process_tag)
        1    0.000    0.000    0.000    0.000 dumper.py:47(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4702(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 enum.py:447(Enum)
       75    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        7    0.000    0.000    0.000    0.000 scanner.py:368(fetch_stream_end)
       17    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 pyganim.py:18(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      171    0.000    0.000    0.000    0.000 pyparsing.py:2020(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 __init__.py:256(get_supported_platform)
        7    0.000    0.000    0.000    0.000 scanner.py:356(fetch_stream_start)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3771(__init__)
       64    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       10    0.000    0.000    0.000    0.000 emitter.py:1079(write_plain)
        1    0.000    0.000    0.000    0.000 emitter.py:316(expect_first_flow_mapping_key)
      100    0.000    0.000    0.000    0.000 traceback.py:286(walk_stack)
       71    0.000    0.000    0.000    0.000 __init__.py:748(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:463(get_build_platform)
       84    0.000    0.000    0.000    0.000 __init__.py:1902(__init__)
        2    0.000    0.000    0.000    0.000 scanner.py:1103(scan_block_scalar_indentation)
        1    0.000    0.000    0.000    0.000 __init__.py:2981(_initialize)
       72    0.000    0.000    0.000    0.000 events.py:22(__init__)
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
        2    0.000    0.000    0.000    0.000 parser.py:537(parse_flow_mapping_first_key)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3049(__init__)
        4    0.000    0.000    0.000    0.000 sur.py:64(playerMove)
       24    0.000    0.000    0.000    0.000 pkgutil.py:397(get_importer)
        1    0.000    0.000    0.000    0.000 serializer.py:2(<module>)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
        9    0.000    0.000    0.000    0.000 eventSystem.py:16(send)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method posix.access}
      206    0.000    0.000    0.000    0.000 map.py:79(drawBullets)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1931(__xor__)
        4    0.000    0.000    0.000    0.000 sur.py:280(walkStopEvent)
       10    0.000    0.000    0.000    0.000 emitter.py:494(choose_scalar_style)
        7    0.000    0.000    0.000    0.000 parser.py:159(parse_document_start)
        7    0.000    0.000    0.000    0.000 parser.py:190(parse_document_end)
       32    0.000    0.000    0.000    0.000 emitter.py:120(need_more_events)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
        3    0.000    0.000    0.000    0.000 inventory.py:12(__init__)
       61    0.000    0.000    0.000    0.000 scanner.py:703(check_block_entry)
       26    0.000    0.000    0.000    0.000 pyganim.py:240(play)
        1    0.000    0.000    0.000    0.000 inspect.py:2349(_ParameterKind)
        4    0.000    0.000    0.000    0.000 sur.py:104(keyUp)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1265(addParseAction)
        5    0.000    0.000    0.000    0.000 emitter.py:580(prepare_tag)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 enemy.py:1(<module>)
       16    0.000    0.000    0.000    0.000 sre_compile.py:391(_generate_overlap_table)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3962(__str__)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3334(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:640(__iadd__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3106(__init__)
        1    0.000    0.000    0.000    0.000 eventSystem.py:2(<module>)
      110    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2607(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3400(__init__)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _sitebuiltins.py:19(__call__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        9    0.000    0.000    0.000    0.000 enum.py:355(_get_mixins_)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       72    0.000    0.000    0.000    0.000 nodes.py:36(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4237(__init__)
       48    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      258    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4726(<genexpr>)
       80    0.000    0.000    0.000    0.000 events.py:5(__init__)
      164    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        4    0.000    0.000    0.000    0.000 {method 'play' of 'Sound' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:4159(copy)
        1    0.000    0.000    0.000    0.000 sysconfig.py:598(get_platform)
       16    0.000    0.000    0.000    0.000 constructor.py:219(construct_yaml_bool)
       75    0.000    0.000    0.000    0.000 traceback.py:239(__init__)
        2    0.000    0.000    0.000    0.000 scanner.py:424(fetch_flow_mapping_start)
       66    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 appdirs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 serializer.py:15(__init__)
