         14025 function calls (13678 primitive calls) in 0.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        6    0.000    0.000    0.000    0.000 abc.py:132(__new__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
        6    0.000    0.000    0.000    0.000 sre_compile.py:248(_optimize_charset)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
     17/8    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
       84    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
  246/240    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        1    0.000    0.000    0.007    0.007 subprocess.py:356(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
       54    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       25    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       73    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
       41    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
       14    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      126    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
       50    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      240    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       19    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
       59    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        5    0.000    0.000    0.000    0.000 enum.py:400(_find_new_)
       43    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
      197    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
        3    0.000    0.000    0.002    0.001 enum.py:526(_convert)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       47    0.000    0.000    0.000    0.000 sre_parse.py:247(get)
        5    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
      4/2    0.000    0.000    0.002    0.001 sre_parse.py:429(_parse_sub)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
        1    0.000    0.000    0.008    0.008 sysfont.py:21(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:9(<module>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
        2    0.000    0.000    0.003    0.001 re.py:278(_compile)
        1    0.000    0.000    0.006    0.006 traceback.py:1(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:221(_compile_charset)
       14    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       66    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        5    0.000    0.000    0.000    0.000 enum.py:355(_get_mixins_)
        3    0.000    0.000    0.000    0.000 __init__.py:83(__init__)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
        3    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
        2    0.000    0.000    0.003    0.001 sre_compile.py:531(compile)
       36    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
        6    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 compat.py:2(<module>)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:447(Enum)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        3    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        1    0.000    0.000    0.000    0.000 threading.py:736(Thread)
        5    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.min}
